ProbeID,ENTREZID
1202,10020
1203,2568
1204,440
1205,3815
1206,549
1207,8505
1208,5167
1209,6584
1210,5281
1211,1396
1212,10046
1213,5193
1214,1836
1215,4124
1216,1945
1217,51196
1218,2246
1219,6443
1220,5891
1221,9865
1222,3872
1223,6038
1224,8800
1225,23464
1226,23421
1227,3730
1228,2099
1229,374
1230,29899
1231,9997
1232,10563
1233,80184
1234,8864
1235,97
1236,10531
1237,9816
1238,4520
1239,24140
1240,6491
1241,580
1242,11013
1243,1780
1244,2769
1245,1381
1246,5274
1247,36
1248,8975
1249,185
1250,8309
1251,3216
1252,10603
1253,8821
1254,874
1255,5174
1256,1675
1257,9201
1258,53340
1259,8434
1260,38
1261,5191
1262,3014
1263,4886
1264,79629
1265,29901
1266,9488
1267,3212
1268,11341
1269,9636
1270,1428
1271,7728
1272,2690
1273,1360
1274,11104
1275,50628
1276,23708
1277,7297
1278,10950
1279,10557
1280,27074
1281,5152
1282,22834
1283,1830
1284,3215
1285,57147
1286,51760
1287,1359
1288,9185
1289,1511
1290,22944
1291,7507
1292,2674
1293,23765
1294,1040
1295,4036
1296,641
1297,79171
1298,11001
1299,26240
1300,8631
1301,4857
1302,4919
1303,7286
1304,8685
1305,1047
1306,1384
1307,7289
1308,9687
1309,10537
1310,9221
1311,1524
1312,4958
1313,9422
1314,11122
1315,11168
1316,3790
1317,3622
1318,10149
1319,10874
1320,1825
1321,7644
1322,3159
1323,9187
1324,10866
1325,1842
1326,9837
1327,1960
1328,5298
1329,5806
1330,8382
1331,8483
1332,10625
1333,11163
1334,5618
1335,5165
1336,9928
1337,7545
1338,4250
1339,5918
1340,3276
1341,57447
1342,1733
1343,4496
1344,10202
1345,22977
1346,23639
1347,948
1348,1104
1349,5304
1350,9631
1351,55623
1352,8190
1353,11039
1354,51230
1355,9448
1356,9121
1357,9582
1358,10898
1359,7010
1360,23136
1361,9170
1362,9721
1363,1555
1364,23443
1365,5409
1366,10647
1367,10013
1368,3223
1369,8545
1370,9748
1371,8904
1372,9169
1373,3858
1374,1466
1375,9120
1376,1029
1377,48
1378,445
1379,3952
1380,3189
1381,1009
1382,10553
1383,840
1384,3987
1385,11015
1386,22878
1387,8621
1388,3601
1389,8394
1390,10195
1391,5884
1392,5046
1393,518
1394,9533
1395,10755
1396,6850
1397,10943
1398,8525
1399,6166
1400,617
1401,114049
1402,7132
1403,29760
1404,10130
1405,22981
1406,6396
1407,871
1408,4595
1409,5523
1410,25840
1411,10084
1412,1063
1413,5511
1414,1528
1415,4582
1416,55627
1417,10921
1418,1453
1419,23047
1420,753
1421,11332
1422,3431
1423,5981
1424,55353
1425,118
1426,8527
1427,6935
1428,81611
1429,10938
1430,81875
1431,7916
1432,1663
1433,114876
1434,8714
1435,10279
1436,51599
1437,2821
1438,7536
1439,5935
1440,1827
1441,6015
1442,5105
1443,11043
1444,10111
1445,9519
1446,1500
1447,57019
1448,7804
1449,9031
1450,720
1451,276
1452,54145
1453,10075
1454,8073
1455,1981
1456,4904
1457,3030
1458,9921
1459,87
1460,142
1461,7415
1462,8763
1463,10801
1464,1192
1465,6767
1466,23741
1467,57515
1468,1650
1469,5036
1470,10916
1471,1314
1472,6046
1473,2617
1474,5591
1475,22948
1476,4841
1477,7086
1478,1983
1479,595
1480,11100
1481,4723
1482,54499
1483,51433
1484,8237
1485,3106
1486,5862
1487,6613
1488,10284
1489,10632
1490,8668
1491,54732
1492,7329
1493,1831
1494,10236
1495,1979
1496,4048
1497,54882
1498,6950
1499,8724
1500,116138
1501,81631
1502,4176
1503,900
1504,5693
1505,6731
1506,6431
1507,2805
1508,3308
1509,1312
1510,5127
1511,5694
1512,54107
1513,6892
1514,55832
1515,9908
1516,26003
1517,128
1518,821
1519,8428
1520,546
1521,6426
1522,7295
1523,1452
1524,5062
1525,51366
1526,1848
1527,8886
1528,28973
1529,7386
1530,708
1531,1267
1532,26994
1533,3609
1534,3964
1535,22929
1536,8678
1537,501
1538,23185
1539,1316
1540,3428
1541,204
1542,4704
1543,10383
1544,5175
1545,8241
1546,6938
1547,22992
1548,6774
1549,5432
1550,8402
1551,26234
1552,7204
1553,3855
1554,9361
1555,9776
1556,10492
1557,203068
1558,10006
1559,23705
1560,10957
1561,4191
1562,5696
1563,9061
1564,10262
1565,7511
1566,23613
1567,5900
1568,7468
1569,8202
1570,10605
1571,9987
1572,8490
1573,23479
1574,56114
1575,10539
1576,80781
1577,51100
1578,23576
1579,7866
1580,26959
1581,7353
1582,7105
1583,1027
1584,7026
1585,5860
1586,4615
1587,3854
1588,9733
1589,7205
1590,8773
1591,444
1592,8575
1593,7326
1594,6307
1595,6257
1596,6929
1597,22978
1598,4125
1599,2824
1600,10551
1601,54870
1602,11196
1603,11067
1604,1810
1605,1729
1606,84617
1607,5292
1608,9277
1609,8543
1610,9554
1611,10979
1612,688
1613,10227
1614,11152
1615,6713
1616,7936
1617,4695
1618,7991
1619,10436
1620,10749
1621,10061
1622,9126
1623,2810
1624,2186
1625,81689
1626,9902
1627,1410
1628,23272
1629,4781
1630,3400
1631,6453
1632,5437
1633,23075
1634,563
1635,599
1636,11321
1637,10767
1638,5325
1639,6004
1640,192286
1641,102724159
1642,3551
1643,4094
1644,10370
1645,6882
1646,7851
1647,7508
1648,10623
1649,4071
1650,1622
1651,9470
1652,1116
1653,4200
1654,51014
1655,11004
1656,2887
1657,23163
1658,8563
1659,4436
1660,5471
1661,9181
1662,5104
1663,57819
1664,23291
1665,1847
1666,18
1667,2339
1668,56267
1669,953
1670,9958
1671,81542
1672,25901
1673,54861
1674,10248
1675,11030
1676,10658
1677,1039
1678,7025
1679,5435
1680,84263
1681,5873
1682,50810
1683,9373
1684,7580
1685,9459
1686,8767
1687,1716
1688,23355
1689,9026
1690,7059
1691,51141
1692,23212
1693,8726
1694,8930
1695,11145
1696,9562
1697,2625
1698,39
1699,65005
1700,125
1701,64087
1702,26190
1703,699
1704,10254
1705,8881
1706,1070
1707,11068
1708,1147
1709,1407
1710,5584
1711,57228
1712,3833
1713,10560
1714,5805
1715,11156
1716,2203
1717,79068
1718,4824
1719,10026
1720,26002
1721,2624
1722,23169
1723,7813
1724,7541
1725,9863
1726,8228
1727,83737
1728,10229
1729,7043
1730,23240
1731,91851
1732,100133941
1733,10656
1734,11240
1735,5655
1736,10330
1737,4863
1738,3868
1739,7371
1740,1777
1741,9469
1742,9318
1743,6663
1744,23608
1745,11118
1746,10197
1747,65258
1748,114088
1749,23401
1750,150
1751,321
1752,6016
1753,3953
1754,22827
1755,3017
1756,55526
1757,23657
1758,1854
1759,8837
1760,2932
1761,429
1762,3263
1763,10477
1764,29775
1765,23595
1766,3620
1767,3418
1768,22974
1769,6877
1770,5603
1771,1515
1772,26135
1773,4116
1774,56288
1775,1580
1776,776
1777,6674
1778,8815
1779,7108
1780,4155
1781,419
1782,100272147
1783,3692
1784,5810
1785,6418
1786,8703
1787,158
1788,51592
1789,1556
1790,57396
1791,53335
1792,54498
1793,5733
1794,9146
1795,5710
1796,166647
1797,27335
1798,3135
1799,9590
1800,7278
1801,26118
1802,3985
1803,2630
1804,4240
1805,9540
1806,9145
1807,7841
1808,22996
1809,27101
1810,5682
1811,2886
1812,10572
1813,10241
1814,1999
1815,5329
1816,27072
1817,26056
1818,8611
1819,10142
1820,23367
1821,25998
1822,8407
1823,7531
1824,5371
1825,283450
1826,51512
1827,4162
1828,1212
1829,1175
1830,9601
1831,6904
1832,5098
1833,10962
1834,961
1835,27332
1836,7337
1837,8480
1838,22884
1839,5979
1840,6309
1841,5269
1842,3306
1843,6573
1844,26018
1845,367
1846,54490
1847,3043
1848,84669
1849,8416
1850,637
1851,3107
1852,4627
1853,1778
1854,220988
1855,23193
1856,1975
1857,23215
1858,23352
1859,3843
1860,1284
1861,10128
1862,23214
1863,79026
1864,7155
1865,6605
1866,65125
1867,23117
1868,3021
1869,26099
1870,130074
1871,4288
1872,2314
1873,58517
1874,23265
1875,26001
1876,8565
1877,147179
1878,25941
1879,23350
1880,4150
1881,9289
1882,113419
1883,2907
1884,57509
1885,388
1886,84271
1887,23633
1888,23543
1889,23197
1890,90861
1891,23516
1892,23673
1893,5987
1894,23433
1895,26123
1896,23468
1897,5905
1898,10985
1899,4173
1900,25777
1901,23381
1902,5087
